DATE,T10
10/29/2012,2.47
10/30/2012,2.47
10/31/2012,2.5
11/1/2012,2.52
11/2/2012,2.48
11/5/2012,2.47
11/6/2012,2.5
11/7/2012,2.48
11/8/2012,2.47
11/9/2012,2.44
11/12/2012,2.44
11/13/2012,2.43
11/14/2012,2.4
11/15/2012,2.38
11/16/2012,2.39
11/19/2012,2.39
11/20/2012,2.4
11/21/2012,2.4
11/22/2012,2.4
11/23/2012,2.42
11/26/2012,2.39
11/27/2012,2.38
11/28/2012,2.38
11/29/2012,2.4
11/30/2012,2.41
12/3/2012,2.44
12/4/2012,2.45
12/5/2012,2.45
12/6/2012,2.46
12/7/2012,2.5
12/10/2012,2.5
12/11/2012,2.5
12/12/2012,2.51
12/13/2012,2.47
12/14/2012,2.46
12/17/2012,2.48
12/18/2012,2.51
12/19/2012,2.48
12/20/2012,2.5
12/21/2012,2.48
12/24/2012,2.48
12/25/2012,2.48
12/26/2012,2.48
12/27/2012,2.47
12/28/2012,2.46
12/31/2012,2.45
1/1/2013,2.45
1/2/2013,2.48
1/3/2013,2.46
1/4/2013,2.48
1/7/2013,2.52
1/8/2013,2.49
1/9/2013,2.52
1/10/2013,2.53
1/11/2013,2.52
1/14/2013,2.55
1/15/2013,2.52
1/16/2013,2.49
1/17/2013,2.53
1/18/2013,2.53
1/21/2013,2.53
1/22/2013,2.54
1/23/2013,2.52
1/24/2013,2.5
1/25/2013,2.54
1/28/2013,2.55
1/29/2013,2.56
1/30/2013,2.57
1/31/2013,2.59
2/1/2013,2.59
2/4/2013,2.59
2/5/2013,2.59
2/6/2013,2.58
2/7/2013,2.57
2/8/2013,2.56
2/11/2013,2.57
2/12/2013,2.59
2/13/2013,2.59
2/14/2013,2.56
2/15/2013,2.54
2/18/2013,2.54
2/19/2013,2.55
2/20/2013,2.54
2/21/2013,2.53
2/22/2013,2.54
2/25/2013,2.5
2/26/2013,2.5
2/27/2013,2.52
2/28/2013,2.53
3/1/2013,2.53
3/4/2013,2.53
3/5/2013,2.55
3/6/2013,2.56
3/7/2013,2.56
3/8/2013,2.56
3/11/2013,2.57
3/12/2013,2.55
3/13/2013,2.56
3/14/2013,2.57
3/15/2013,2.56
3/18/2013,2.56
3/19/2013,2.53
3/20/2013,2.53
3/21/2013,2.52
3/22/2013,2.53
3/25/2013,2.53
3/26/2013,2.53
3/27/2013,2.51
3/28/2013,2.51
3/29/2013,2.51
4/1/2013,2.51
4/2/2013,2.51
4/3/2013,2.48
4/4/2013,2.48
4/5/2013,2.46
4/8/2013,2.45
4/9/2013,2.45
4/10/2013,2.44
4/11/2013,2.47
4/12/2013,2.43
4/15/2013,2.41
4/16/2013,2.4
4/17/2013,2.37
4/18/2013,2.27
4/19/2013,2.32
4/22/2013,2.35
4/23/2013,2.38
4/24/2013,2.38
4/25/2013,2.4
4/26/2013,2.38
4/29/2013,2.37
4/30/2013,2.34
5/1/2013,2.3
5/2/2013,2.28
5/3/2013,2.31
5/6/2013,2.31
5/7/2013,2.32
5/8/2013,2.29
5/9/2013,2.31
5/10/2013,2.35
5/13/2013,2.33
5/14/2013,2.33
5/15/2013,2.3
5/16/2013,2.27
5/17/2013,2.26
5/20/2013,2.28
5/21/2013,2.28
5/22/2013,2.27
5/23/2013,2.26
5/24/2013,2.27
5/27/2013,2.27
5/28/2013,2.29
5/29/2013,2.23
5/30/2013,2.18
5/31/2013,2.21
6/3/2013,2.2
6/4/2013,2.19
6/5/2013,2.16
6/6/2013,2.13
6/7/2013,2.14
6/10/2013,2.11
6/11/2013,2.07
6/12/2013,2.04
6/13/2013,2.04
6/14/2013,2.05
6/17/2013,2.04
6/18/2013,2.06
6/19/2013,2.04
6/20/2013,1.95
6/21/2013,1.93
6/24/2013,1.93
6/25/2013,1.96
6/26/2013,1.95
6/27/2013,1.99
6/28/2013,1.99
7/1/2013,2.02
7/2/2013,2.04
7/3/2013,2.04
7/4/2013,2.04
7/5/2013,2.07
7/8/2013,2.07
7/9/2013,2.06
7/10/2013,2.06
7/11/2013,2.04
7/12/2013,2.06
7/15/2013,2.1
7/16/2013,2.14
7/17/2013,2.14
7/18/2013,2.18
7/19/2013,2.21
7/22/2013,2.22
7/23/2013,2.2
7/24/2013,2.17
7/25/2013,2.17
7/26/2013,2.15
7/29/2013,2.16
7/30/2013,2.17
7/31/2013,2.22
8/1/2013,2.26
8/2/2013,2.21
8/5/2013,2.25
8/6/2013,2.28
8/7/2013,2.26
8/8/2013,2.24
8/9/2013,2.24
8/12/2013,2.24
8/13/2013,2.23
8/14/2013,2.21
8/15/2013,2.17
8/16/2013,2.16
8/19/2013,2.13
8/20/2013,2.15
8/21/2013,2.14
8/22/2013,2.11
8/23/2013,2.13
8/26/2013,2.15
8/27/2013,2.15
8/28/2013,2.15
8/29/2013,2.1
8/30/2013,2.1
9/2/2013,2.1
9/3/2013,2.1
9/4/2013,2.07
9/5/2013,2.06
9/6/2013,2.07
9/9/2013,2.06
9/10/2013,2.1
9/11/2013,2.13
9/12/2013,2.11
9/13/2013,2.1
9/16/2013,2.12
9/17/2013,2.16
9/18/2013,2.2
9/19/2013,2.21
9/20/2013,2.23
9/23/2013,2.26
9/24/2013,2.19
9/25/2013,2.18
9/26/2013,2.19
9/27/2013,2.18
9/30/2013,2.19
10/1/2013,2.2
10/2/2013,2.2
10/3/2013,2.19
10/4/2013,2.2
10/7/2013,2.2
10/8/2013,2.18
10/9/2013,2.21
10/10/2013,2.21
10/11/2013,2.2
10/14/2013,2.2
10/15/2013,2.21
10/16/2013,2.19
10/17/2013,2.16
10/18/2013,2.18
10/21/2013,2.19
10/22/2013,2.17
10/23/2013,2.15
10/24/2013,2.17
10/25/2013,2.19
10/28/2013,2.19
10/29/2013,2.18
10/30/2013,2.18
10/31/2013,2.17
11/1/2013,2.15
11/4/2013,2.13
11/5/2013,2.14
11/6/2013,2.19
11/7/2013,2.17
11/8/2013,2.18
11/11/2013,2.18
11/12/2013,2.18
11/13/2013,2.17
11/14/2013,2.18
11/15/2013,2.18
11/18/2013,2.19
11/19/2013,2.18
11/20/2013,2.16
11/21/2013,2.19
11/22/2013,2.19
11/25/2013,2.18
11/26/2013,2.17
11/27/2013,2.16
11/28/2013,2.16
11/29/2013,2.15
12/2/2013,2.15
12/3/2013,2.15
12/4/2013,2.11
12/5/2013,2.12
12/6/2013,2.11
12/9/2013,2.12
12/10/2013,2.12
12/11/2013,2.15
12/12/2013,2.14
12/13/2013,2.16
12/16/2013,2.18
12/17/2013,2.18
12/18/2013,2.17
12/19/2013,2.15
12/20/2013,2.16
12/23/2013,2.18
12/24/2013,2.19
12/25/2013,2.19
12/26/2013,2.2
12/27/2013,2.22
12/30/2013,2.23
12/31/2013,2.24
1/1/2014,2.24
1/2/2014,2.26
1/3/2014,2.26
1/6/2014,2.26
1/7/2014,2.26
1/8/2014,2.29
1/9/2014,2.31
1/10/2014,2.29
1/13/2014,2.27
1/14/2014,2.26
1/15/2014,2.28
1/16/2014,2.25
1/17/2014,2.26
1/20/2014,2.26
1/21/2014,2.26
1/22/2014,2.25
1/23/2014,2.13
1/24/2014,2.14
1/27/2014,2.14
1/28/2014,2.15
1/29/2014,2.14
1/30/2014,2.15
1/31/2014,2.14
2/3/2014,2.14
2/4/2014,2.13
2/5/2014,2.14
2/6/2014,2.16
2/7/2014,2.18
2/10/2014,2.19
2/11/2014,2.19
2/12/2014,2.21
2/13/2014,2.17
2/14/2014,2.16
2/17/2014,2.16
2/18/2014,2.14
2/19/2014,2.13
2/20/2014,2.13
2/21/2014,2.12
2/24/2014,2.16
2/25/2014,2.15
2/26/2014,2.16
2/27/2014,2.16
2/28/2014,2.17
3/3/2014,2.16
3/4/2014,2.18
3/5/2014,2.18
3/6/2014,2.21
3/7/2014,2.23
3/10/2014,2.22
3/11/2014,2.2
3/12/2014,2.19
3/13/2014,2.17
3/14/2014,2.17
3/17/2014,2.18
3/18/2014,2.18
3/19/2014,2.16
3/20/2014,2.13
3/21/2014,2.14
3/24/2014,2.15
3/25/2014,2.14
3/26/2014,2.14
3/27/2014,2.13
3/28/2014,2.13
3/31/2014,2.13
4/1/2014,2.14
4/2/2014,2.14
4/3/2014,2.14
4/4/2014,2.13
4/7/2014,2.12
4/8/2014,2.11
4/9/2014,2.14
4/10/2014,2.14
4/11/2014,2.13
4/14/2014,2.13
4/15/2014,2.14
4/16/2014,2.17
4/17/2014,2.21
4/18/2014,2.21
4/21/2014,2.2
4/22/2014,2.21
4/23/2014,2.21
4/24/2014,2.21
4/25/2014,2.2
4/28/2014,2.18
4/29/2014,2.18
4/30/2014,2.18
5/1/2014,2.2
5/2/2014,2.19
5/5/2014,2.18
5/6/2014,2.16
5/7/2014,2.2
5/8/2014,2.19
5/9/2014,2.18
5/12/2014,2.18
5/13/2014,2.16
5/14/2014,2.17
5/15/2014,2.19
5/16/2014,2.18
5/19/2014,2.17
5/20/2014,2.17
5/21/2014,2.18
5/22/2014,2.21
5/23/2014,2.22
5/26/2014,2.22
5/27/2014,2.21
5/28/2014,2.22
5/29/2014,2.23
5/30/2014,2.22
6/2/2014,2.22
6/3/2014,2.19
6/4/2014,2.17
6/5/2014,2.18
6/6/2014,2.2
6/9/2014,2.21
6/10/2014,2.21
6/11/2014,2.22
6/12/2014,2.19
6/13/2014,2.19
6/16/2014,2.2
6/17/2014,2.23
6/18/2014,2.23
6/19/2014,2.25
6/20/2014,2.28
6/23/2014,2.28
6/24/2014,2.28
6/25/2014,2.28
6/26/2014,2.27
6/27/2014,2.27
6/30/2014,2.26
7/1/2014,2.26
7/2/2014,2.26
7/3/2014,2.28
7/4/2014,2.27
7/7/2014,2.27
7/8/2014,2.27
7/9/2014,2.29
7/10/2014,2.28
7/11/2014,2.28
7/14/2014,2.27
7/15/2014,2.25
7/16/2014,2.23
7/17/2014,2.23
7/18/2014,2.24
7/21/2014,2.24
7/22/2014,2.23
7/23/2014,2.23
7/24/2014,2.27
7/25/2014,2.28
7/28/2014,2.28
7/29/2014,2.27
7/30/2014,2.28
7/31/2014,2.29
8/1/2014,2.27
8/4/2014,2.25
8/5/2014,2.24
8/6/2014,2.25
8/7/2014,2.24
8/8/2014,2.25
8/11/2014,2.25
8/12/2014,2.24
8/13/2014,2.23
8/14/2014,2.21
8/15/2014,2.18
8/18/2014,2.18
8/19/2014,2.17
8/20/2014,2.17
8/21/2014,2.17
8/22/2014,2.14
8/25/2014,2.15
8/26/2014,2.14
8/27/2014,2.14
8/28/2014,2.13
8/29/2014,2.12
9/1/2014,2.12
9/2/2014,2.15
9/3/2014,2.17
9/4/2014,2.17
9/5/2014,2.15
9/8/2014,2.13
9/9/2014,2.11
9/10/2014,2.1
9/11/2014,2.12
9/12/2014,2.13
9/15/2014,2.13
9/16/2014,2.12
9/17/2014,2.06
9/18/2014,2.02
9/19/2014,2.03
9/22/2014,1.99
9/23/2014,2.02
9/24/2014,2.03
9/25/2014,2.02
9/26/2014,1.97
9/29/2014,1.95
9/30/2014,1.97
10/1/2014,1.96
10/2/2014,1.95
10/3/2014,1.93
10/6/2014,1.93
10/7/2014,1.92
10/8/2014,1.96
10/9/2014,1.97
10/10/2014,1.96
10/13/2014,1.96
10/14/2014,1.92
10/15/2014,1.86
10/16/2014,1.89
10/17/2014,1.92
10/20/2014,1.91
10/21/2014,1.9
10/22/2014,1.91
10/23/2014,1.91
10/24/2014,1.9
10/27/2014,1.89
10/28/2014,1.91
10/29/2014,1.92
10/30/2014,1.9
10/31/2014,1.92
11/3/2014,1.93
11/4/2014,1.92
11/5/2014,1.93
11/6/2014,1.94
11/7/2014,1.94
11/10/2014,1.94
11/11/2014,1.94
11/12/2014,1.91
11/13/2014,1.88
11/14/2014,1.89
11/17/2014,1.86
11/18/2014,1.84
11/19/2014,1.83
11/20/2014,1.85
11/21/2014,1.86
11/24/2014,1.86
11/25/2014,1.85
11/26/2014,1.82
11/27/2014,1.82
11/28/2014,1.79
12/1/2014,1.79
12/2/2014,1.77
12/3/2014,1.79
12/4/2014,1.77
12/5/2014,1.75
12/8/2014,1.71
12/9/2014,1.73
12/10/2014,1.71
12/11/2014,1.7
12/12/2014,1.64
12/15/2014,1.62
12/16/2014,1.65
12/17/2014,1.65
12/18/2014,1.65
12/19/2014,1.68
12/22/2014,1.7
12/23/2014,1.7
12/24/2014,1.68
12/25/2014,1.68
12/26/2014,1.67
12/29/2014,1.65
12/30/2014,1.64
12/31/2014,1.68
1/1/2015,1.68
1/2/2015,1.71
1/5/2015,1.64
1/6/2015,1.56
1/7/2015,1.57
1/8/2015,1.62
1/9/2015,1.62
1/12/2015,1.57
1/13/2015,1.54
1/14/2015,1.57
1/15/2015,1.58
1/16/2015,1.6
1/19/2015,1.6
1/20/2015,1.59
1/21/2015,1.61
1/22/2015,1.61
1/23/2015,1.6
1/26/2015,1.61
1/27/2015,1.66
1/28/2015,1.61
1/29/2015,1.62
1/30/2015,1.65
2/2/2015,1.65
2/3/2015,1.7
2/4/2015,1.71
2/5/2015,1.7
2/6/2015,1.71
2/9/2015,1.71
2/10/2015,1.7
2/11/2015,1.68
2/12/2015,1.66
2/13/2015,1.68
2/16/2015,1.68
2/17/2015,1.71
2/18/2015,1.71
2/19/2015,1.74
2/20/2015,1.75
2/23/2015,1.72
2/24/2015,1.72
2/25/2015,1.72
2/26/2015,1.79
2/27/2015,1.83
3/2/2015,1.83
3/3/2015,1.86
3/4/2015,1.87
3/5/2015,1.84
3/6/2015,1.83
3/9/2015,1.76
3/10/2015,1.73
3/11/2015,1.72
3/12/2015,1.71
3/13/2015,1.69
3/16/2015,1.65
3/17/2015,1.64
3/18/2015,1.7
3/19/2015,1.79
3/20/2015,1.76
3/23/2015,1.75
3/24/2015,1.77
3/25/2015,1.81
3/26/2015,1.8
3/27/2015,1.76
3/30/2015,1.73
3/31/2015,1.76
4/1/2015,1.8
4/2/2015,1.81
4/3/2015,1.83
4/6/2015,1.85
4/7/2015,1.85
4/8/2015,1.84
4/9/2015,1.84
4/10/2015,1.82
4/13/2015,1.8
4/14/2015,1.8
4/15/2015,1.84
4/16/2015,1.85
4/17/2015,1.89
4/20/2015,1.89
4/21/2015,1.86
4/22/2015,1.87
4/23/2015,1.89
4/24/2015,1.89
